url,property_id,price,rooms,area,state,facades_number,is_furnished,has_terrace,has_garden,has_swimming_pool,has_equipped_kitchen,build_year,cellar,garage,kitchen_type,kitchen_surface,water_softener,bathrooms,low_energy,solar_panels,heating_type,heat_pump,air_conditioning,alarm,parking_places_outdoor,garden_surface,garden_orientation,terrace_surface,terrace_orientation,land_surface,sewer_connection,running_water,rain_water_tank,primary_energy_consumption,co2,certification_electrical_installation,certification_gasoil_tank,planning_permission_granted,preemption_right,flooding_area_type,demarcated_flooding_area,surroundings_protected,opportunity_for_professional,availability,wash_room,parking_places_indoor,leased,living_room_surface,attic,glazing_type,elevator,entry_phone,security_door,access_disabled,apartement_floor,front_facade_orientation,number_floors,toilets,diningrooms,frontage_width,terrain_width_roadside,g_score,p_score,cadastral_income,vat,maintenance_cost,property_subtype,postal_code,locality,property_type
https://immovlan.be/en/detail/apartment/for-sale/2600/berchem/rbu69315,rbu69315,269000.0,1.0,51.0,,,0.0,1.0,0.0,,,1968.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,184.0,,,,,0.0,(information not available),(information not available),,,,,,,,,,,,,,,,,,,,,,,,No,,apartment,2600,berchem,Apartment
https://immovlan.be/en/detail/apartment/for-sale/2050/antwerp/rbu69316,rbu69316,299000.0,2.0,79.0,Normal,2.0,0.0,1.0,0.0,,,2011.0,,1.0,,,,1.0,,,Electricity,,,,,,,5.0,,,,1.0,,100.0,,"yes, certificate in accordance",,,1.0,no flooding area,(information not available),,,On contract,,,0.0,22.0,,,1.0,,,,2.0,,,1.0,,,,,,,No,,apartment,2050,antwerp,Apartment
https://immovlan.be/en/detail/apartment/for-sale/2610/wilrijk/rbu68996,rbu68996,359000.0,3.0,110.0,,,0.0,1.0,0.0,,,,,1.0,,,,1.0,,,Gas,,,,,,,,,,,1.0,,,,,,,,(information not available),(information not available),,,On contract,,,0.0,,,,0.0,,,,2.0,,,1.0,,,,,,,No,,apartment,2610,wilrijk,Apartment
https://immovlan.be/en/detail/apartment/for-sale/2060/antwerp/rbu69309,rbu69309,239000.0,2.0,84.0,Normal,2.0,0.0,1.0,0.0,,,1963.0,,,,,,1.0,,,Gas,,,,,,,,,,,1.0,,163.0,,"No, certificate does not comply",,,1.0,,(information not available),,,On contract,,,0.0,,,,1.0,,,,5.0,,,,,,,,,,No,,apartment,2060,antwerp,Apartment
https://immovlan.be/en/detail/apartment/for-sale/2610/wilrijk/rbu69307,rbu69307,189000.0,2.0,80.0,Normal,2.0,0.0,0.0,0.0,,,1930.0,,,,,,,,,,,,,,,,,,,,,,149.0,,"yes, certificate in accordance",,,0.0,no flooding area,(information not available),,,Negotiable,,,0.0,,,,0.0,,,,1.0,,,,,,,,,,No,,apartment,2610,wilrijk,Apartment
https://immovlan.be/en/detail/apartment/for-sale/2018/antwerp/rbu68653,rbu68653,269000.0,2.0,96.0,Normal,,0.0,1.0,0.0,,,1974.0,,,,,,1.0,,,Gas,,,,,,,10.0,,,,1.0,,113.0,,"yes, certificate in accordance",,,,(information not available),(information not available),,,,,,0.0,37.0,,,0.0,,,,,,,1.0,,,,,,,No,,apartment,2018,antwerp,Apartment
https://immovlan.be/en/detail/apartment/for-sale/2100/deurne/rbu68691,rbu68691,224000.0,2.0,86.0,Normal,2.0,0.0,1.0,0.0,,,1977.0,,,,,,1.0,,,Gas,,,,,,,,,,,1.0,,155.0,,"No, certificate does not comply",,,0.0,no flooding area,(information not available),,,Immediately,,,0.0,,,,1.0,,,,1.0,,3.0,1.0,,14.0,,,,949.0,No,,apartment,2100,deurne,Apartment
https://immovlan.be/en/detail/apartment/for-sale/2140/borgerhout/rbu68698,rbu68698,217000.0,2.0,78.0,Normal,2.0,0.0,1.0,0.0,,,2017.0,,,,,,1.0,,,Gas,,,,,,,9.0,,,,,,48.0,,"yes, certificate in accordance",,,0.0,no flooding area,(information not available),,,Negotiable,,,0.0,,,,1.0,,,,,,,1.0,,6.0,,,,,No,,apartment,2140,borgerhout,Apartment
https://immovlan.be/en/detail/apartment/for-sale/2140/borgerhout/rbu68652,rbu68652,269000.0,2.0,96.0,Normal,,0.0,1.0,0.0,,,1974.0,,,,,,1.0,,,Gas,,,,,,,10.0,,,,1.0,,113.0,,"yes, certificate in accordance",,,,(information not available),(information not available),,,,,,0.0,37.0,,,0.0,,,,,,,1.0,,,,,,,No,,apartment,2140,borgerhout,Apartment
https://immovlan.be/en/detail/apartment/for-sale/2100/deurne/rbu68988,rbu68988,269000.0,3.0,119.0,,,,1.0,0.0,,,1974.0,,,,,,1.0,,,Not specified,,0.0,0.0,,,,,,,,,,217.0,,,,,,no flooding area,(information not available),0.0,,,,,0.0,,,,1.0,,,0.0,,,,1.0,,,,,,,No,,apartment,2100,deurne,Apartment
